1 662
2 1032
3 118
4 618
5 119
6 28
7 312
8 1481
9 94
10 99
11 696
12 14
13 175
14 122
15 318
16 294
17 119
18 241
19 138
20 130
21 119
22 1437
23 180
24 196
25 255
26 111
27 49
28 335
29 63
30 113
31 368
32 53
33 882
34 138
35 13
36 20
37 117
38 40
39 368
40 100
41 37
42 19
43 43
44 33
45 30
46 176
47 126
48 131
49 246
50 250
51 86
52 405
53 115
54 59
55 141
56 131
57 37
58 53
59 116
60 2670
61 63
62 89
63 80
64 61
65 81
66 45
67 205
68 771
69 299
70 78
71 28
72 63
73 59
74 161
75 64
76 41
77 63
78 158
79 290
80 70
81 180
82 46
83 58
84 97
85 152
86 50
87 26
88 122
89 422
90 41
91 40
92 55
93 95
94 14
95 45
96 149
97 27
98 43
99 141
100 920
101 82
102 94
103 43
104 239
105 201
106 343
107 116
108 702
109 112
110 117
111 13
112 227
113 45
114 60
115 38
116 706
117 43
118 173
119 14
